,open,high,low,close,adjclose,volume,ticker
2008-01-31,5140.60009765625,5545.2001953125,4803.60009765625,5223.5,5223.5,0,^NSEI
2008-02-29,5222.7998046875,5222.7998046875,4468.5498046875,4734.5,4734.5,0,^NSEI
2008-03-31,4735.64990234375,5230.75,4628.75,5165.89990234375,5165.89990234375,0,^NSEI
2008-04-30,5265.2998046875,5298.85009765625,4801.89990234375,4870.10009765625,4870.10009765625,0,^NSEI
2008-05-31,4869.25,4908.7998046875,4021.699951171875,4040.550048828125,4040.550048828125,0,^NSEI
2008-06-30,4039.75,4539.4501953125,3790.199951171875,4332.9501953125,4332.9501953125,0,^NSEI
2008-07-31,4331.60009765625,4649.85009765625,4201.85009765625,4360.0,4360.0,0,^NSEI
2008-08-31,4356.10009765625,4558.0,3715.050048828125,3921.199951171875,3921.199951171875,0,^NSEI
2008-09-30,3921.85009765625,4000.5,2252.75,2885.60009765625,2885.60009765625,0,^NSEI
2008-10-31,2885.39990234375,3240.550048828125,2502.89990234375,2755.10009765625,2755.10009765625,0,^NSEI
2008-11-30,2755.14990234375,3110.449951171875,2570.699951171875,2959.14990234375,2959.14990234375,0,^NSEI
2008-12-31,2963.300048828125,3147.199951171875,2661.64990234375,2874.800048828125,2874.800048828125,0,^NSEI
2009-01-31,2872.35009765625,2969.75,2677.550048828125,2763.64990234375,2763.64990234375,0,^NSEI
2009-02-28,2764.60009765625,3123.35009765625,2539.449951171875,3020.949951171875,3020.949951171875,0,^NSEI
2009-03-31,3023.85009765625,3517.25,2965.699951171875,3473.949951171875,3473.949951171875,0,^NSEI
2009-04-30,3478.699951171875,4509.39990234375,3478.699951171875,4448.9501953125,4448.9501953125,0,^NSEI
2009-05-31,4450.39990234375,4693.2001953125,4143.25,4291.10009765625,4291.10009765625,0,^NSEI
2009-06-30,4292.2998046875,4669.75,3918.75,4636.4501953125,4636.4501953125,0,^NSEI
2009-07-31,4633.7998046875,4743.75,4353.4501953125,4662.10009765625,4662.10009765625,0,^NSEI
2009-08-31,4662.2001953125,5087.60009765625,4576.60009765625,5083.9501953125,5083.9501953125,0,^NSEI
2009-09-30,5087.2001953125,5181.9501953125,4687.5,4711.7001953125,4711.7001953125,0,^NSEI
2009-10-31,4712.25,5138.0,4538.5,5032.7001953125,5032.7001953125,0,^NSEI
2009-11-30,5039.7001953125,5221.85009765625,4943.9501953125,5201.0498046875,5201.0498046875,0,^NSEI
2009-12-31,5200.89990234375,5310.85009765625,4766.0,4882.0498046875,4882.0498046875,0,^NSEI
2010-01-31,4882.0498046875,4992.0,4675.39990234375,4922.2998046875,4922.2998046875,0,^NSEI
2010-02-28,4935.60009765625,5329.5498046875,4935.35009765625,5249.10009765625,5249.10009765625,0,^NSEI
2010-03-31,5249.2001953125,5399.64990234375,5160.89990234375,5278.0,5278.0,0,^NSEI
2010-04-30,5278.39990234375,5278.7001953125,4786.4501953125,5086.2998046875,5086.2998046875,0,^NSEI
2010-05-31,5086.25,5366.75,4961.0498046875,5312.5,5312.5,0,^NSEI
2010-06-30,5312.0498046875,5477.5,5225.60009765625,5367.60009765625,5367.60009765625,0,^NSEI
2010-07-31,5369.5498046875,5549.7998046875,5348.89990234375,5402.39990234375,5402.39990234375,0,^NSEI
2010-08-31,5403.0498046875,6073.5,5403.0498046875,6029.9501953125,6029.9501953125,0,^NSEI
2010-09-30,6030.2998046875,6284.10009765625,5937.10009765625,6017.7001953125,6017.7001953125,0,^NSEI
2010-10-31,6092.2998046875,6338.5,5690.35009765625,5862.7001953125,5862.7001953125,0,^NSEI
