,open,high,low,close,adjclose,volume,ticker
2018-08-31,38915.91015625,38934.3515625,35985.62890625,36227.140625,36227.140625,305800,^BSESN
2018-09-30,36274.25,36616.640625,33291.578125,34442.05078125,34442.05078125,441200,^BSESN
2018-10-31,34650.62890625,36389.21875,34303.37890625,36194.30078125,36194.30078125,399800,^BSESN
2018-11-30,36396.69140625,36554.98828125,34426.2890625,36068.328125,36068.328125,121837500,^BSESN
2018-12-31,36198.12890625,36701.03125,35375.51171875,36256.69140625,36256.69140625,133470600,^BSESN
2019-01-31,36311.73828125,37172.1796875,35287.16015625,35867.44140625,35867.44140625,60134300,^BSESN
2019-02-28,36018.48828125,38748.5390625,35926.94140625,38672.91015625,38672.91015625,318000,^BSESN
2019-03-31,38858.87890625,39487.44921875,38460.25,39031.55078125,39031.55078125,312900,^BSESN
2019-04-30,39036.51171875,40124.9609375,36956.1015625,39714.19921875,39714.19921875,396100,^BSESN
2019-05-31,39806.859375,40312.0703125,38870.9609375,39394.640625,39394.640625,311500,^BSESN
2019-06-30,39543.73046875,40032.41015625,37128.26171875,37481.12109375,37481.12109375,445000,^BSESN
2019-07-31,37387.1796875,37807.55078125,36102.3515625,37332.7890625,37332.7890625,558800,^BSESN
2019-08-31,37181.76171875,39441.12109375,35987.80078125,38667.328125,38667.328125,565500,^BSESN
2019-09-30,38813.48046875,40392.21875,37415.828125,40129.05078125,40129.05078125,859000,^BSESN
2019-10-31,40196.0703125,41163.7890625,40014.23046875,40793.80859375,40793.80859375,711300,^BSESN
2019-11-30,41072.94140625,41809.9609375,40135.37109375,41253.73828125,41253.73828125,538200,^BSESN
2019-12-31,41340.26953125,42273.87109375,40476.55078125,40723.48828125,40723.48828125,204300,^BSESN
2020-01-31,39701.01953125,41709.30078125,38219.96875,38297.2890625,38297.2890625,201400,^BSESN
2020-02-29,38910.94921875,39083.171875,25638.900390625,29468.490234375,29468.490234375,702000,^BSESN
2020-03-31,29505.330078125,33887.25,27500.7890625,33717.62109375,33717.62109375,346600,^BSESN
2020-04-30,32748.140625,32845.48046875,29968.44921875,32424.099609375,32424.099609375,544100,^BSESN
2020-05-31,32906.05078125,35706.55078125,32348.099609375,34915.80078125,34915.80078125,541900,^BSESN
2020-06-30,35009.58984375,38617.03125,34927.19921875,37606.890625,37606.890625,442900,^BSESN
2020-07-31,37595.73046875,40010.171875,36911.23046875,38628.2890625,38628.2890625,381900,^BSESN
2020-08-31,38754.0,39359.51171875,36495.98046875,38067.9296875,38067.9296875,309800,^BSESN
2020-09-30,38410.19921875,41048.05078125,38410.19921875,39614.0703125,39614.0703125,323000,^BSESN
2020-10-31,39880.37890625,44825.37109375,39334.921875,44149.71875,44149.71875,407000,^BSESN
2020-11-30,44435.828125,47896.96875,44118.1015625,47751.328125,47751.328125,390400,^BSESN
2020-12-31,48109.171875,50184.01171875,46160.4609375,46285.76953125,46285.76953125,341600,^BSESN
2021-01-31,46617.94921875,52516.76171875,46433.6484375,49099.98828125,49099.98828125,439900,^BSESN
2021-02-28,49747.7109375,51821.83984375,48236.3515625,49509.1484375,49509.1484375,270000,^BSESN
2021-03-31,49868.53125,50375.76953125,47204.5,48782.359375,48782.359375,249700,^BSESN
2021-04-30,48356.01171875,52013.21875,48028.0703125,51937.44140625,51937.44140625,267400,^BSESN
2021-05-31,52067.51171875,53126.73046875,51450.578125,52482.7109375,52482.7109375,260100,^BSESN
2021-06-30,52638.5,53290.80859375,51802.73046875,52586.83984375,52586.83984375,210600,^BSESN
2021-07-31,52901.28125,57625.26171875,52804.078125,57552.390625,57552.390625,191500,^BSESN
2021-08-31,57763.53125,60412.3203125,57263.8984375,59126.359375,59126.359375,255700,^BSESN
2021-09-30,58889.76953125,62245.4296875,58551.140625,59306.9296875,59306.9296875,250800,^BSESN
2021-10-31,59577.48046875,61036.55859375,56382.9296875,57064.87109375,57064.87109375,162000,^BSESN
2021-11-30,57365.8515625,59203.37109375,55132.6796875,57124.30859375,57124.30859375,146600,^BSESN
2021-12-24,57567.109375,57623.69140625,56813.421875,57124.30859375,57124.30859375,0,^BSESN
